url,city,price,title,location,area,bedrooms,bathrooms,property_type,built_in_year,parking_spaces,servant_quarters,store_rooms,kitchens,drawing_rooms,dining_rooms,laundry_rooms,floors,electricity_backup,internet,gas,security,water_supply
https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_b_main_double_road-54004307-3117-1.html,islamabad,100000000,Main Double Road,"MPCHS - Block B, MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",1 Kanal,10,6,House,,Yes,,,,,,,,,,,,
https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_an_exclusive_2_kanal_fully_furnished_modern_house_will_be_available_for_sale_within_this_month-54225791-339-1.html,islamabad,280000000,An Exclusive 2 Kanal Fully Furnished Modern House Will Be Available For Sale Within This Month.,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2 Kanal,6,6,House,2026,4,2,1,3,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_defence_phase_2_al-ghurair_giga_two_bedrooms_apartment_available_for_sale_on_investor_price-54230233-15113-1.html,islamabad,11500000,Two Bedrooms Apartment Available For Sale On Investor Price,"Al-Ghurair Giga, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",5.1 Marla,2,2,Flat,2021,2,,1,Yes,Yes,Yes,,,,,,,
https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_5_marla_beautiful_house_for_sale_sector_n-53855481-11975-1.html,islamabad,27000000,5 Marla Beautiful House for Sale | Sector N,"Bahria Enclave - Sector N, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",5 Marla,3,5,House,2026,1,1,1,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/islamabad_f-7_renovated_1_kanal_5_bedroom_house_for_sale-53806723-165-1.html,islamabad,330000000,Renovated 1 Kanal 5 Bedroom House For Sale,"F-7, Islamabad, Islamabad Capital",1 Kanal,5,6,House,2020,3,1,,1,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_designer_kanal_owner_made_kanal_house_near_central_park-53721807-339-1.html,islamabad,115000000,Designer Kanal Owner Made Kanal House Near Central Park,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",1 Kanal,6,6,House,2024,4,1,1,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/islamabad_park_road_3_marla_four_storey_beautiful_house_for_sale-52008580-3485-1.html,islamabad,24500000,3 Marla Four Storey Beautiful House For Sale,"Park Road, Islamabad, Islamabad Capital",3 Marla,4,4,House,2024,1,1,1,1,Yes,Yes,,,,,,,
https://www.zameen.com/Property/islamabad_tarlai_10_marla_single_story_house_for_sale_prime_location_exchange_possible_in_gulberg_greens_jinnah_garden-53133869-1144-1.html,islamabad,21000000,10 Marla Single Story House for Sale | Prime Location | Exchange Possible in Gulberg Greens & Jinnah Garden,"Tarlai, Islamabad, Islamabad Capital",10 Marla,4,4,House,2016,2,,1,,Yes,Yes,,,,,,,
https://www.zameen.com/Property/park_view_city_park_view_city_-_downtown_block_furnished_corner_two-bed_apartment_for_sale_park_view_city_downtown_the_walk_urgent_for_sale-53575501-20871-1.html,islamabad,40000000,Furnished Corner Two-Bed Apartment For Sale Park View City Downtown The Walk Urgent For Sale,"Park View City - Downtown Block, Park View City, Islamabad, Islamabad Capital",6.4 Marla,2,4,Flat,,Yes,3,Yes,Yes,Yes,Yes,,,,,,,
https://www.zameen.com/Property/islamabad_park_road_12_marla_mini_commercial_house_available_for_urgent_sale_near_park_road_and_very_close_to_jerry_fedex-53840655-3485-1.html,islamabad,45000000,12 Marla Mini Commercial House Available For Urgent Sale Near Park Road And Very Close To Jerry FedEx.,"Park Road, Islamabad, Islamabad Capital",12 Marla,3,3,House,,,,,,,,,,,,,,
https://www.zameen.com/Property/lehtrar_road_gulberg_town_4_marla_single_storey_house_for_sale_gulberg_near_tramri_islamabad-53850410-15399-1.html,islamabad,10500000,4 Marla Single Storey House For Sale Gulberg Near Tramri Islamabad,"Gulberg Town, Lehtrar Road, Islamabad, Islamabad Capital",4 Marla,2,3,House,2025,1,2,1,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_slightly_used_owner_build_house_for_sale-52491772-339-1.html,islamabad,88000000,Slightly Used Owner Build House For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",1 Kanal,6,6,House,2024,3,2,2,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/top_city_1_top_city_1_-_block_a_affordable_house_for_sale_in_top_city_1_-_block_a-53648777-9231-1.html,islamabad,40000000,Affordable House For Sale In Top City 1 - Block A,"Top City 1 - Block A, Top City 1, Islamabad, Islamabad Capital",10 Marla,5,6,House,,2,1,1,1,Yes,Yes,,,,,,,
https://www.zameen.com/Property/islamabad_b-17_two_bedroom_corner_and_margalla_hills_facing_apartment_in_j7_emporium_b-17_islamabad-53981969-616-1.html,islamabad,36500000,Two Bedroom Corner and Margalla Hills Facing Apartment In J7 Emporium B-17 Islamabad,"B-17, Islamabad, Islamabad Capital",7.7 Marla,2,2,Flat,2021,2,1,1,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/islamabad_top_city_1_main_boulevard_house_for_sale-53705640-1383-1.html,islamabad,49500000,Main Boulevard House For Sale,"Top City 1, Islamabad, Islamabad Capital",10 Marla,6,6,House,2025,Yes,1,,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/islamabad_f-8_investor_rate_50x90_house_in_prime_f-8-53612568-166-1.html,islamabad,222500000,Investor Rate 50x90 House in Prime F-8,"F-8, Islamabad, Islamabad Capital",1 Kanal,5,6,House,,Yes,,,,,,,,,,,,
https://www.zameen.com/Property/islamabad_f-8_brand_new_triple-storey_designer_house_for_sale_in_f-8-53492540-166-1.html,islamabad,415000000,Brand New Triple-Storey Designer House For Sale In F-8,"F-8, Islamabad, Islamabad Capital",1 Kanal,6,7,House,,Yes,Yes,Yes,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/islamabad_f-11_f-11_margalla_road_666_yards_newly_built_modern_house_front_open_5_bedrooms_swimming_pool_gymnasium_prime_location_price_42_crores-54210718-163-1.html,islamabad,420000000,"F-11: Margalla Road, 666 Yards Newly Built Modern House, Front Open, 5 Bedrooms, Swimming Pool, Gymnasium, Prime Location, Price 42 Crores","F-11, Islamabad, Islamabad Capital",1.3 Kanal,5,7,House,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_valley_oleander_sector_oleander_sector_-_block_a_8_marla_dha_home_oleander_a_block-53367072-16476-1.html,islamabad,15500000,8 MARLA DHA HOME OLEANDER A BLOCK,"Oleander Sector - Block A, DHA Valley - Oleander Sector, DHA Valley, DHA Defence, Islamabad, Islamabad Capital",8 Marla,3,3,House,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_valley_lilly_sector_lilly_sector_-_dha_homes_luxury_8_marla_house_for_sale_double_storey_2_terraces_servant_quarter-53443796-16826-1.html,islamabad,15900000,"Luxury 8 Marla House For Sale Double Storey, 2 Terraces, Servant Quarter","Lilly Sector - DHA Homes, DHA Valley - Lilly Sector, DHA Valley, DHA Defence, Islamabad, Islamabad Capital",8 Marla,3,3,House,2020,2,1,1,1,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_valley_dha_valley_-_lilly_sector_beautiful_8_marla_double-storey_villa_3_bedrooms_garden_servant_room-53445557-3214-1.html,islamabad,16000000,"Beautiful 8 Marla Double-Storey Villa 3 Bedrooms, Garden & Servant Room","DHA Valley - Lilly Sector, DHA Valley, DHA Defence, Islamabad, Islamabad Capital",8 Marla,3,3,House,2020,2,1,1,1,Yes,Yes,,,,,,,
https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_c_3060_designer_house_for_sale-53414790-3118-1.html,islamabad,35000000,3060 Designer House For Sale,"MPCHS - Block C, MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",8 Marla,4,5,House,2025,2,,,,,,,,,,,,
https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_luxury_house_brand_new_for_sale_at_reasonable_demand-52503565-339-1.html,islamabad,92500000,Luxury House Brand New For Sale At Reasonable Demand,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",1 Kanal,6,6,House,2024,3,2,1,1,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_f_elegant_designer_house_avaliable-54250406-3201-1.html,islamabad,160000000,Elegant Designer House Avaliable,"DHA Phase 2 - Sector F, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",1 Kanal,5,5,House,2026,3,1,1,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_m_semi-corner_10_5_marla_house_with_10_marla_green_belt-54224075-11977-1.html,islamabad,58000000,Semi-Corner 10.5 Marla House with 10 Marla Green Belt,"Bahria Enclave - Sector M, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",10.5 Marla,5,7,House,2025,2,1,1,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/islamabad_bani_gala_double_storey_house_for_sale_in_bani_gala-54189087-340-1.html,islamabad,20000000,Double Storey House For Sale In Bani Gala,"Bani Gala, Islamabad, Islamabad Capital",5 Marla,4,6,House,,,,1,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/islamabad_g-9_g_9_4_35x70_house_with_extra_land_for_sale-54206059-171-1.html,islamabad,78000000,G 9/4 35x70 House With Extra Land For Sale,"G-9, Islamabad, Islamabad Capital",10 Marla,5,5,House,,Yes,1,Yes,1,Yes,Yes,,,,,,,
https://www.zameen.com/Property/islamabad_bhara_kahu_brand_new_house-54253083-156-1.html,islamabad,12500000,Brand new house,"Bhara kahu, Islamabad, Islamabad Capital",5 Marla,2,2,House,,,,2,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/canyon_views_cvrp_hyde_park_one_residential_apartment_for_sale-53106984-18872-1.html,islamabad,24800000,Residential Apartment For Sale,"Hyde Park One, Canyon Views Cvrp, Islamabad, Islamabad Capital",6.9 Marla,2,2,Flat,2026,Yes,2,1,Yes,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_slightly_used_good_location_house_for_sale-52502236-339-1.html,islamabad,84000000,Slightly Used Good Location House For sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",1 Kanal,6,6,House,2023,3,2,2,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_used_owner_build_house_for_sale-52502307-339-1.html,islamabad,87000000,Used Owner Build House For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",1 Kanal,5,6,House,,Yes,2,1,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_most_beautiful_designer_40_marla_house_for_sale-52503202-339-1.html,islamabad,165000000,Most Beautiful Designer 40 Marla House For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2 Kanal,6,6,House,2025,4,2,,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_corner_park_facing_house_for_sale_near_central_park-52503557-339-1.html,islamabad,148000000,Corner Park Facing House For Sale Near Central Park,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2 Kanal,8,6,House,2024,4,2,Yes,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_defence_dha_defence_phase_7_dha_5_marla_villa_available_for_sale_under_wazir_e_azam_apna_ghar_scheme-53989650-22460-1.html,islamabad,8500000,DHA 5 MARLA Villa AVAILABLE FOR SALE under Wazir E azam Apna Ghar Scheme,"DHA Defence Phase 7, DHA Defence, Islamabad, Islamabad Capital",5 Marla,2,2,House,2024,5,,1,1,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_brand_new_beautiful_designer_house_for_sale-52417300-339-1.html,islamabad,120000000,1 Kanal Brand New Beautiful Designer House For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",1 Kanal,5,6,House,2024,3,2,2,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_brand_new_beautiful_victorian_style_house_for_sale-53041861-339-1.html,islamabad,147500000,1 Kanal Brand New Beautiful Victorian Style House For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",1 Kanal,6,6,House,2026,3,2,2,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_brand_new_double_unit_house-53041866-339-1.html,islamabad,128000000,1 Kanal Brand New Double Unit House,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",1 Kanal,7,6,House,2025,3,2,2,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/islamabad_f-8_old_house_is_for_sale_in_f-8-53612669-166-1.html,islamabad,240000000,Old House Is For SALE In F-8,"F-8, Islamabad, Islamabad Capital",1 Kanal,4,5,House,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_brand_new_architecture_kanal_mansion_at_prime_location-52379201-339-1.html,islamabad,115000000,Brand New Architecture Kanal Mansion At Prime Location,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",1 Kanal,5,6,House,2025,3,1,2,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/top_city_1_top_city_1_-_block_d_get_in_touch_now_to_buy_a_10_marla_house_in_top_city_1_-_block_d-54226149-9233-1.html,islamabad,69500000,Get In Touch Now To Buy A 10 Marla House In Top City 1 - Block D,"Top City 1 - Block D, Top City 1, Islamabad, Islamabad Capital",10 Marla,4,4,House,,,,,,,,,,,,,,
https://www.zameen.com/Property/islamabad_e-11_for_sale_40x90_renovated_triple_storey_9_beds_e_11_2-54183372-329-1.html,islamabad,130000000,FOR SALE 40x90 Renovated Triple Storey 9 Beds E_11/2,"E-11, Islamabad, Islamabad Capital",16 Marla,9,7,House,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,
https://www.zameen.com/Property/jinnah_gardens_jinnah_gardens_phase_1_jinnah_garden_phase_1_7_marla_house_for_sale-54052944-1421-1.html,islamabad,31500000,Jinnah Garden Phase 1 7 Marla House For Sale,"Jinnah Gardens Phase 1, Jinnah Gardens, FECHS, Islamabad, Islamabad Capital",7 Marla,4,5,House,2025,1,,,,,,,,,,,,
https://www.zameen.com/Property/islamabad_f-10_f_10_house_available_600_square_yards_with_1_kanal_extra_land_close_and_street-54120823-162-1.html,islamabad,219000000,F 10 House Available 600 Square Yards With 1 Kanal Extra Land Close And Street.,"F-10, Islamabad, Islamabad Capital",1.2 Kanal,5,6,House,2000,10,1,2,1,Yes,Yes,,,,,,,
https://www.zameen.com/Property/f_6_f-6_3_f_6_2_proper_corner_house_available_2500_square_yards_close_and_street_near_to_margla_road-54022921-3301-1.html,islamabad,1.4,F 6/2 Proper Corner House Available 2500 Square Yards Close And Street Near To Margla Road,"F-6/3, F-6, Islamabad, Islamabad Capital",5 Kanal,10,6,House,2000,15,2,2,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/islamabad_f-7_f_7_main_margla_road_house_available_2000_square_yards_100_180_with_4_kanal_extra_land-53938009-165-1.html,islamabad,1.75,F 7 Main Margla Road House Available 2000 Square Yards 100*180 With 4 Kanal Extra Land.,"F-7, Islamabad, Islamabad Capital",8 Kanal,8,6,House,2020,20,3,2,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/kuri_road_phaf_officers_residencia_deziner_house_available_for_sale_in_pha_officer_residenshia_kurii_road_islamabad-54181129-13099-1.html,islamabad,42500000,Deziner House Available For Sale In Pha Officer Residenshia Kurii Road Islamabad,"PHAF Officers Residencia, Kuri Road, Islamabad, Islamabad Capital",8 Marla,6,6,House,,,,,,,,,,,,,,
https://www.zameen.com/Property/dha_defence_phase_2_defence_residency_defence_residency_2_bedroom_apartment_804_sqyrft_for_sale-53853455-9914-1.html,islamabad,8000000,Defence Residency 2 bedroom apartment 804 sqyrft for sale,"Defence Residency, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",3.6 Marla,2,2,Flat,2025,2,1,1,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_defence_phase_5_dha_phase_5_-_sector_c_top_heighted_luxurious_5_bed_house_available-54239386-8402-1.html,islamabad,160000000,Top Heighted Luxurious 5 Bed House Available,"DHA Phase 5 - Sector C, DHA Defence Phase 5, DHA Defence, Islamabad, Islamabad Capital",2.3 Kanal,5,5,House,2026,3,2,1,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_j_luxurious_5_bed_single_unit_house-54200621-8399-1.html,islamabad,75000000,Luxurious 5 Bed Single Unit House,"DHA Phase 2 - Sector J, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",10 Marla,5,5,House,2025,2,1,1,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_defence_phase_5_askari_tower_4_residential_apartments_for_sale-53677369-21810-1.html,islamabad,32500000,Residential Apartments For Sale,"Askari Tower 4, DHA Defence Phase 5, DHA Defence, Islamabad, Islamabad Capital",11 Marla,3,3,Flat,2026,1,1,1,1,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_luxury_5bed_designer_house-53721742-339-1.html,islamabad,86000000,1 Kanal Luxury 5bed Designer House,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",1 Kanal,5,5,House,,Yes,1,1,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_f_designer_outclass_house_on_top_height_location_near_giga_mall_central_park-49354939-3201-1.html,islamabad,79500000,Designer Outclass House On Top Height Location Near Giga Mall / Central Park,"DHA Phase 2 - Sector F, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",1 Kanal,6,6,House,2023,3,1,1,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/ghauri_town_ghauri_garden_urgent_sale_reasonable_price_5_marla_double_storey_house_for_sale_ghouri_garden_lehtrar_road_islamabad_best_location_near_commercial_street_size_30_feet-53920778-10660-1.html,islamabad,16500000,Urgent Sale Reasonable Price 5 Marla Double Storey House For Sale Ghouri Garden Lehtrar Road Islamabad Best Location Near Commercial Street Size 30 Feet,"Ghauri Garden, Ghauri Town, Islamabad, Islamabad Capital",5 Marla,5,6,House,2020,1,1,1,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/islamabad_g-15_appartment_for_sale_society_appartment_of_jammu_kashmir_housing_society_g15_islamabad-54139503-764-1.html,islamabad,14800000,Appartment For Sale. Society Appartment Of Jammu & Kashmir Housing Society G15 Islamabad.,"G-15, Islamabad, Islamabad Capital",8.8 Marla,3,3,Flat,,2,1,1,Yes,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_5_kanal_ultra_luxurious_designer_house_for_sale-53041868-339-1.html,islamabad,220000000,1.5 Kanal Ultra Luxurious Designer House For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",1.5 Kanal,6,6,House,2025,3,2,1,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_brand_new_ultra_luxurious_designer_house_for_sale_central_park_facing-54000885-339-1.html,islamabad,138000000,1 Kanal Brand New Ultra Luxurious Designer House For Sale Central park facing,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",1 Kanal,6,6,House,2026,3,2,2,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/b_17_faisal_margalla_city_faisal_margllah_city_200sqyards_brand_new_house_for_sale-53026633-13424-1.html,islamabad,35000000,Faisal Margllah City=200Sqyards Brand New House For Sale,"Faisal Margalla City, B-17, Islamabad, Islamabad Capital",8 Marla,4,4,House,2025,2,,,,,,,,,,,,
https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_b_elegant_designer_house_near_to_park-54225085-3197-1.html,islamabad,145000000,Elegant Designer House Near To Park,"DHA Phase 2 - Sector B, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",1 Kanal,5,6,House,2026,3,2,1,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_a_designer_single_unit_house_available_for_sale-54239075-3196-1.html,islamabad,115000000,Designer Single Unit House Available For Sale,"DHA Phase 2 - Sector A, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",1 Kanal,5,6,House,2023,2,1,,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_a_luxurious_5_bed_single_unit_house-54239145-3196-1.html,islamabad,110000000,Luxurious 5 Bed Single Unit House,"DHA Phase 2 - Sector A, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",1 Kanal,5,5,House,2026,3,2,1,1,Yes,Yes,,,,,,,
https://www.zameen.com/Property/islamabad_gt_road_5_kanal_orchard_farm_house_for_sale-49514943-3397-1.html,islamabad,37500000,5 Kanal Orchard Farm House For Sale,"GT Road, Islamabad, Islamabad Capital",5.7 Kanal,2,2,Farm House,2022,1,1,1,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/gulberg_gulberg_greens_gulberg_green_luxury_farmhouse_for_sale-53397837-8312-1.html,islamabad,850000000,GULBERG GREEN LUXURY FARMHOUSE FOR SALE,"Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",10 Kanal,11,7,Farm House,2025,20,2,1,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_brand_new_1_kanal_modern_contemporary_luxury_house_for_sale_dha_2-54250135-339-1.html,islamabad,105000000,Brand New 1 Kanal Modern Contemporary Luxury House For Sale DHA 2,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",1 Kanal,5,6,House,2026,3,1,2,2,Yes,Yes,,,,,,,
https://www.zameen.com/Property/top_city_1_top_city_1_-_block_b_20_marla_brand_new_house_for_sale_in_topcity-1_islamabad-53751527-9230-1.html,islamabad,85000000,20 Marla Brand New House For Sale In Topcity-1 Islamabad,"Top City 1 - Block B, Top City 1, Islamabad, Islamabad Capital",1 Kanal,8,7,House,,Yes,1,1,2,Yes,Yes,,,,,,,
